R	53.3027	-6.17833	E839	13 Oct 2021	E839\n18:34 - Greystones to Malahide (1 mins late)\nDeparted Blackrock next stop Booterstown	Northbound
R	53.3206	-6.21112	E126	13 Oct 2021	E126\n18:30 - Malahide to Greystones (0 mins late)\nDeparted Sydney Parade next stop Booterstown	Southbound
R	53.3223	-6.52356	A226	13 Oct 2021	A226\n19:00 - Dublin Heuston to Cork (0 mins late)\nDeparted Hazelhatch next stop Portlaoise	To Cork
R	53.3223	-6.52356	D417	13 Oct 2021	D417\n18:17 - Grand Canal Dock to Newbridge (1 mins late)\nDeparted Hazelhatch next stop Sallins	Southbound
R	53.334	-6.37868	A223	13 Oct 2021	A223\n16:25 - Cork to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	D418	13 Oct 2021	D418\n18:40 - Grand Canal Dock to Hazelhatch (0 mins late)\nArrived Park West and Cherry Orchard next stop Clondalkin	Southbound
R	53.334	-6.37868	P418	13 Oct 2021	P418\n18:54 - Hazelhatch to Grand Canal Dock (1 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3347	-6.22979	E939	13 Oct 2021	E939\n18:35 - Bray to Howth (0 mins late)\nDeparted Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.347	-6.25425	E838	13 Oct 2021	E838\n18:25 - Bray to Malahide (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.347	-6.25425	P674	13 Oct 2021	P674\n18:20 - Maynooth to Dublin Pearse (4 mins late)\nArrived Tara Street next stop Dublin Pearse	Southbound
R	53.3531	-6.24591	E252	13 Oct 2021	E252\n18:40 - Howth to Bray (3 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3629	-6.22753	E253	13 Oct 2021	E253\n18:50 - Malahide to Bray (1 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D932	13 Oct 2021	D932\n19:00 - Dublin Pearse to Maynooth (0 mins late)\nDeparted Drumcondra next stop Broombridge	Northbound
R	53.3725	-6.29869	P324	13 Oct 2021	P324\n18:40 - M3 Parkway to Docklands (3 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.3743	-6.48624	D938	13 Oct 2021	D938\n23:20 - Dublin Pearse to Maynooth (-1 mins late)\nArrived Leixlip (Confey) next stop Leixlip (Louisa Bridge)	Northbound
R	53.3743	-6.48624	P758	13 Oct 2021	P758\n18:58 - Maynooth to Dublin Connolly (1 mins late)\nDeparted Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3752	-6.31388	D316	13 Oct 2021	D316\n19:00 - Docklands to M3 Parkway (1 mins late)\nDeparted Pelletstown next stop Ashtown	Northbound
R	53.3755	-6.33135	P675	13 Oct 2021	P675\n18:40 - Maynooth to Dublin Pearse (5 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.3786	-6.19131	E127	13 Oct 2021	E127\n18:57 - Howth to Greystones (0 mins late)\nDeparted Harmonstown next stop Killester	Southbound
R	53.3786	-6.19131	E938	13 Oct 2021	E938\n18:04 - Greystones to Howth (0 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3786	-6.19131	E949	13 Oct 2021	E949\n23:00 - Bray to Howth (0 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3831	-6.4242	D931	13 Oct 2021	D931\n18:34 - Dublin Pearse to Maynooth (4 mins late)\nDeparted Clonsilla next stop Leixlip (Confey)	Northbound
R	53.3853	-6.44205	D321	13 Oct 2021	D321\n23:57 - Clonsilla to M3 Parkway (0 mins late)\nArrived Hansfield next stop Dunboyne	Northbound
R	53.387	-6.16163	A134	13 Oct 2021	A134\n19:00 - Dublin Connolly to Belfast (3 mins late)\nArrived Kilbarrack next stop Drogheda	Northbound
R	53.392	-6.11448	E937	13 Oct 2021	E937\n17:55 - Bray to Howth (6 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4032	-6.14839	D829	13 Oct 2021	D829\n23:40 - Dublin Pearse to Dundalk (0 mins late)\nArrived Clongriffin next stop Portmarnock	Northbound
R	53.4032	-6.14839	E837	13 Oct 2021	E837\n18:05 - Bray to Malahide (2 mins late)\nArrived Clongriffin next stop Portmarnock	Northbound
R	53.4157	-6.83395	D928	13 Oct 2021	D928\n18:16 - Dublin Connolly to Longford (1 mins late)\nDeparted Enfield next stop Mullingar	Northbound
R	53.4169	-6.1512	E254	13 Oct 2021	E254\n19:10 - Malahide to Bray (0 mins late)\nArrived Portmarnock next stop Clongriffin	Southbound
R	53.4855	-6.15134	D822	13 Oct 2021	D822\n18:50 - Dublin Connolly to Drogheda (4 mins late)\nDeparted Donabate next stop Rush and Lusk	Northbound
R	53.523	-7.34608	A913	13 Oct 2021	A913\n16:55 - Sligo to Dublin Connolly (2 mins late)\nArrived Mullingar next stop Enfield	Southbound
R	53.523	-7.34608	D925	13 Oct 2021	D925\n17:17 - Dublin Connolly to Longford (3 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.5741	-6.11933	P623	13 Oct 2021	P623\n18:50 - Drogheda to Dublin Pearse (0 mins late)\nArrived Skerries next stop Rush and Lusk	Southbound
R	53.638	-6.21705	D821	13 Oct 2021	D821\n18:24 - Dublin Pearse to Drogheda (1 mins late)\nArrived Gormanston next stop Laytown	Northbound
R	53.712	-6.33538	D820	13 Oct 2021	D820\n18:00 - Dublin Pearse to Dundalk (1 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.712	-6.33538	D828	13 Oct 2021	D828\n22:40 - Dublin Pearse to Dundalk (10 mins late)\nDeparted Drogheda next stop Dundalk	Northbound
R	53.7243	-7.79574	A912	13 Oct 2021	A912\n17:10 - Dublin Connolly to Sligo (3 mins late)\nDeparted Longford next stop Dromod	Northbound
R	54.0007	-6.41291	A132	13 Oct 2021	A132\n16:50 - Dublin Connolly to Belfast (0 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	D818	13 Oct 2021	D818\n17:13 - Dublin Pearse to Newry (-1 mins late)\nDeparted Dundalk next stop Newry	To Newry
R	54.2723	-8.48249	A915	13 Oct 2021	A915\n19:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Sligo next stop Collooney	Southbound
T	52.1396	-8.65521	P252	13 Oct 2021	P252\n18:45 - Cork to Mallow(-2 mins late)\nTERMINATED Mallow at 19:06	To Mallow
T	53.2043	-6.10046	E249	13 Oct 2021	E249\n17:48 - Malahide to Bray(2 mins late)\nTERMINATED Bray at 19:05	Southbound
T	53.3397	-6.23773	P417	13 Oct 2021	P417\n18:10 - Newbridge to Grand Canal Dock(3 mins late)\nTERMINATED Grand Canal Dock at 19:10	Northbound
T	53.3433	-6.24829	P622	13 Oct 2021	P622\n18:02 - Drogheda to Dublin Pearse(4 mins late)\nTERMINATED Dublin Pearse at 19:11	Southbound
T	53.378	-6.58993	D930	13 Oct 2021	D930\n17:30 - Bray to Maynooth(1 mins late)\nTERMINATED Maynooth at 19:07	Northbound
T	53.4349	-6.46898	D315	13 Oct 2021	D315\n18:30 - Docklands to M3 Parkway(1 mins late)\nTERMINATED M3 Parkway at 19:09	Northbound
T	54.2723	-8.48249	A910	13 Oct 2021	A910\n16:00 - Dublin Connolly to Sligo(1 mins late)\nTERMINATED Sligo at 19:11	Northbound
